time	V(receiver)
0.000000000000000e+000	5.852800e-004
9.765624753299562e-009	9.368888e-004
1.953124950659912e-008	1.684541e-003
2.929687450659912e-008	3.055403e-003
3.906249950659912e-008	5.492900e-003
4.882812450659912e-008	9.640482e-003
5.859374950659912e-008	1.618932e-002
6.835937450659912e-008	2.589162e-002
7.812499950659912e-008	3.951577e-002
8.789062450659912e-008	5.780080e-002
9.765624950659912e-008	8.141243e-002
1.074218745065991e-007	1.109027e-001
1.171874995065991e-007	1.466753e-001
1.269531245065991e-007	1.889572e-001
1.367187495065991e-007	2.377798e-001
1.464843745065991e-007	2.929682e-001
1.562499995065991e-007	3.541403e-001
1.660156245065991e-007	4.207157e-001
1.757812495065991e-007	4.919324e-001
1.855468745065991e-007	5.668734e-001
1.953124995065991e-007	6.444982e-001
2.050781245065991e-007	7.236806e-001
2.246093745065991e-007	8.820313e-001
2.343749995065991e-007	9.588920e-001
2.441406245065991e-007	1.032777e+000
2.539062495065991e-007	1.102744e+000
2.636718745065991e-007	1.167998e+000
2.734374995065992e-007	1.227908e+000
2.832031245065992e-007	1.282026e+000
2.929687495065992e-007	1.330094e+000
3.027343745065992e-007	1.372036e+000
3.124999995065993e-007	1.407956e+000
3.222656245065993e-007	1.438116e+000
3.320312495065993e-007	1.462909e+000
3.417968745065993e-007	1.482836e+000
3.515624995065994e-007	1.498466e+000
3.613281245065994e-007	1.510403e+000
3.710937495065994e-007	1.519251e+000
3.808593745065994e-007	1.525577e+000
3.906249995065995e-007	1.529880e+000
4.003906245065995e-007	1.532563e+000
4.101562495065995e-007	1.533911e+000
4.199218745065995e-007	1.534078e+000
4.296874995065996e-007	1.533075e+000
4.394531245065996e-007	1.530772e+000
4.492187495065996e-007	1.526906e+000
4.589843745065996e-007	1.521090e+000
4.687499995065997e-007	1.512840e+000
4.785156245065997e-007	1.501592e+000
4.980468745065997e-007	1.467657e+000
5.078124995065998e-007	1.443741e+000
5.175781245065998e-007	1.414436e+000
5.273437495065998e-007	1.379265e+000
5.371093745065999e-007	1.337858e+000
5.468749995065999e-007	1.289974e+000
5.566406245065999e-007	1.235516e+000
5.664062495065999e-007	1.174538e+000
5.761718745066000e-007	1.107255e+000
5.859374995066000e-007	1.034033e+000
5.957031245066000e-007	9.553814e-001
6.054687495066000e-007	8.719353e-001
6.152343745066001e-007	7.844361e-001
6.249999995066001e-007	6.937043e-001
6.445312495066001e-007	5.060502e-001
6.542968745066002e-007	4.109031e-001
6.640624995066002e-007	3.160149e-001
6.738281245066002e-007	2.221650e-001
6.835937495066002e-007	1.300444e-001
6.933593745066003e-007	4.023778e-002
7.031249995066003e-007	-4.678966e-002
7.128906245066003e-007	-1.306995e-001
7.226562495066003e-007	-2.112814e-001
7.324218745066004e-007	-2.884478e-001
7.421874995066004e-007	-3.622243e-001
7.519531245066004e-007	-4.327335e-001
7.617187495066004e-007	-5.001765e-001
7.714843745066005e-007	-5.648099e-001
7.812499995066005e-007	-6.269209e-001
7.910156245066005e-007	-6.868031e-001
8.007812495066005e-007	-7.447309e-001
8.105468745066006e-007	-8.009373e-001
8.203124995066006e-007	-8.555926e-001
8.300781245066006e-007	-9.087891e-001
8.398437495066006e-007	-9.605281e-001
8.496093745066007e-007	-1.010714e+000
8.593749995066007e-007	-1.059150e+000
8.691406245066007e-007	-1.105545e+000
8.789062495066007e-007	-1.149521e+000
8.886718745066008e-007	-1.190624e+000
8.984374995066008e-007	-1.228346e+000
9.179687495066009e-007	-1.291447e+000
9.277343745066009e-007	-1.315716e+000
9.374999995066009e-007	-1.334430e+000
9.472656245066009e-007	-1.347127e+000
9.570312495066010e-007	-1.353421e+000
9.667968745066010e-007	-1.353018e+000
9.765624995066010e-007	-1.345731e+000
9.863281245066010e-007	-1.331487e+000
9.960937495066011e-007	-1.310332e+000
1.005859374506601e-006	-1.282432e+000
1.015624999506601e-006	-1.248064e+000
1.025390624506601e-006	-1.207609e+000
1.035156249506601e-006	-1.161536e+000
1.044921874506601e-006	-1.110388e+000
1.054687499506601e-006	-1.054759e+000
1.074218749506601e-006	-9.325722e-001
1.083984374506601e-006	-8.672740e-001
1.093749999506601e-006	-7.999746e-001
1.103515624506601e-006	-7.312191e-001
1.113281249506601e-006	-6.614902e-001
