rload	V(out)	I(R3)
1.000000000000000e-020	5.888829e-020	5.888829e+000
1.047128548050900e-020	6.166361e-020	5.888829e+000
1.096478196143185e-020	6.456973e-020	5.888829e+000
1.148153621496883e-020	6.761280e-020	5.888829e+000
1.202264434617413e-020	7.079929e-020	5.888829e+000
1.258925411794168e-020	7.413597e-020	5.888829e+000
1.318256738556408e-020	7.762989e-020	5.888829e+000
1.380384264602885e-020	8.128847e-020	5.888829e+000
1.445439770745928e-020	8.511948e-020	5.888829e+000
1.513561248436209e-020	8.913103e-020	5.888829e+000
1.584893192461114e-020	9.333165e-020	5.888829e+000
1.659586907437562e-020	9.773023e-020	5.888829e+000
1.737800828749377e-020	1.023361e-019	5.888829e+000
1.819700858609985e-020	1.071591e-019	5.888829e+000
1.905460717963249e-020	1.122093e-019	5.888829e+000
1.995262314968881e-020	1.174976e-019	5.888829e+000
2.089296130854041e-020	1.230351e-019	5.888829e+000
2.187761623949555e-020	1.288335e-019	5.888829e+000
2.290867652767775e-020	1.349053e-019	5.888829e+000
2.398832919019493e-020	1.412632e-019	5.888829e+000
2.511886431509583e-020	1.479207e-019	5.888829e+000
2.630267991895385e-020	1.548920e-019	5.888829e+000
2.754228703338170e-020	1.621918e-019	5.888829e+000
2.884031503126610e-020	1.698357e-019	5.888829e+000
3.019951720402020e-020	1.778398e-019	5.888829e+000
3.162277660168383e-020	1.862211e-019	5.888829e+000
3.311311214825915e-020	1.949975e-019	5.888829e+000
3.467368504525321e-020	2.041874e-019	5.888829e+000
3.630780547701019e-020	2.138105e-019	5.888829e+000
3.801893963205618e-020	2.238870e-019	5.888829e+000
3.981071705534978e-020	2.344385e-019	5.888829e+000
4.168693834703361e-020	2.454873e-019	5.888829e+000
4.365158322401667e-020	2.570567e-019	5.888829e+000
4.570881896148758e-020	2.691714e-019	5.888829e+000
4.786300923226392e-020	2.818571e-019	5.888829e+000
5.011872336272732e-020	2.951406e-019	5.888829e+000
5.248074602497736e-020	3.090501e-019	5.888829e+000
5.495408738576257e-020	3.236152e-019	5.888829e+000
5.754399373371582e-020	3.388667e-019	5.888829e+000
6.025595860743591e-020	3.548370e-019	5.888829e+000
6.309573444801947e-020	3.715600e-019	5.888829e+000
6.606934480075976e-020	3.890711e-019	5.888829e+000
6.918309709189382e-020	4.074074e-019	5.888829e+000
7.244359600749920e-020	4.266079e-019	5.888829e+000
7.585775750291858e-020	4.467134e-019	5.888829e+000
7.943282347242836e-020	4.677663e-019	5.888829e+000
8.317637711026733e-020	4.898114e-019	5.888829e+000
8.709635899560830e-020	5.128956e-019	5.888829e+000
9.120108393559123e-020	5.370676e-019	5.888829e+000
9.549925860214387e-020	5.623788e-019	5.888829e+000
1.000000000000003e-019	5.888829e-019	5.888829e+000
1.047128548050903e-019	6.166361e-019	5.888829e+000
1.096478196143188e-019	6.456972e-019	5.888829e+000
1.148153621496886e-019	6.761280e-019	5.888829e+000
1.202264434617417e-019	7.079929e-019	5.888829e+000
1.258925411794171e-019	7.413596e-019	5.888829e+000
1.318256738556411e-019	7.762988e-019	5.888829e+000
1.380384264602890e-019	8.128847e-019	5.888829e+000
1.445439770745932e-019	8.511948e-019	5.888829e+000
1.513561248436213e-019	8.913103e-019	5.888829e+000
1.584893192461119e-019	9.333165e-019	5.888829e+000
1.659586907437567e-019	9.773023e-019	5.888829e+000
1.737800828749382e-019	1.023361e-018	5.888829e+000
1.819700858609990e-019	1.071591e-018	5.888829e+000
1.905460717963254e-019	1.122093e-018	5.888829e+000
1.995262314968887e-019	1.174976e-018	5.888829e+000
2.089296130854048e-019	1.230351e-018	5.888829e+000
2.187761623949561e-019	1.288335e-018	5.888829e+000
2.290867652767782e-019	1.349053e-018	5.888829e+000
2.398832919019500e-019	1.412632e-018	5.888829e+000
2.511886431509591e-019	1.479207e-018	5.888829e+000
2.630267991895393e-019	1.548920e-018	5.888829e+000
2.754228703338178e-019	1.621918e-018	5.888829e+000
2.884031503126618e-019	1.698357e-018	5.888829e+000
3.019951720402029e-019	1.778398e-018	5.888829e+000
3.162277660168394e-019	1.862211e-018	5.888829e+000
3.311311214825926e-019	1.949974e-018	5.888829e+000
3.467368504525333e-019	2.041874e-018	5.888829e+000
3.630780547701031e-019	2.138105e-018	5.888829e+000
3.801893963205630e-019	2.238870e-018	5.888829e+000
