time	V(ausgang)
0.000000000000000e+000	1.648115e+000
9.765624940649698e-012	1.648115e+000
1.953124988129940e-011	1.648115e+000
3.906249976259879e-011	1.648115e+000
7.812499952519758e-011	1.648115e+000
1.562499990503952e-010	1.648115e+000
3.124999981007903e-010	1.648115e+000
6.249999962015806e-010	1.648115e+000
1.249999992403161e-009	1.648115e+000
2.499999984806323e-009	1.648115e+000
4.999999969612645e-009	1.648115e+000
9.999999939225290e-009	1.648115e+000
1.999999987845058e-008	1.648115e+000
3.999999975690116e-008	1.648115e+000
7.999999951380232e-008	1.648115e+000
1.599999990276046e-007	1.648115e+000
3.199999980552093e-007	1.648111e+000
6.399999961104186e-007	1.648064e+000
1.279999992220837e-006	1.647696e+000
2.256562492220837e-006	1.646183e+000
3.233124992220837e-006	1.643075e+000
4.023437500000000e-006	1.638581e+000
5.000000000000000e-006	1.630863e+000
5.292968750000000e-006	1.627514e+000
5.683593750000001e-006	1.622329e+000
6.464843750000001e-006	1.609939e+000
7.441406250000001e-006	1.591167e+000
8.417968750000001e-006	1.568614e+000
9.394531250000000e-006	1.542265e+000
1.037109375000000e-005	1.512379e+000
1.134765625000000e-005	1.479298e+000
1.232421875000000e-005	1.443450e+000
1.330078125000000e-005	1.405333e+000
1.427734375000000e-005	1.365491e+000
1.525390625000001e-005	1.324486e+000
1.623046875000001e-005	1.282863e+000
1.720703125000001e-005	1.241117e+000
1.818359375000001e-005	1.199672e+000
1.916015625000001e-005	1.158874e+000
2.013671875000001e-005	1.118984e+000
2.111328125000001e-005	1.080191e+000
2.208984375000001e-005	1.042619e+000
2.306640625000001e-005	1.006341e+000
2.404296875000001e-005	9.713907e-001
2.501953125000001e-005	9.377791e-001
2.599609375000002e-005	9.055099e-001
2.697265625000002e-005	8.746125e-001
2.794921875000002e-005	8.452035e-001
2.892578125000002e-005	8.175932e-001
2.990234375000002e-005	7.923763e-001
3.087890625000002e-005	7.703273e-001
3.185546875000002e-005	7.520090e-001
3.380859375000002e-005	7.259316e-001
3.673828125000002e-005	7.032219e-001
3.920758928571431e-005	6.927484e-001
4.167689732142859e-005	6.835972e-001
4.414620535714287e-005	6.757681e-001
4.661551339285716e-005	6.692612e-001
4.908482142857144e-005	6.640766e-001
5.155412946428572e-005	6.602142e-001
5.402343750000000e-005	6.576740e-001
5.529296875000000e-005	6.560405e-001
5.646484375000000e-005	6.546503e-001
5.744140625000000e-005	6.535601e-001
5.841796875000001e-005	6.525302e-001
6.000000000000000e-005	6.510175e-001
6.174386160714286e-005	6.496363e-001
6.348772321428572e-005	6.484252e-001
6.523158482142858e-005	6.473845e-001
6.697544642857144e-005	6.465140e-001
6.871930803571429e-005	6.458137e-001
7.046316964285716e-005	6.452838e-001
7.220703125000001e-005	6.449240e-001
7.416015625000001e-005	6.446468e-001
7.513671875000001e-005	6.445693e-001
7.611328125000001e-005	6.445317e-001
7.708984375000001e-005	6.445335e-001
7.806640625000001e-005	6.445743e-001
8.001953125000001e-005	6.447721e-001
8.197265625000001e-005	6.451244e-001
8.490234375000002e-005	6.459461e-001
8.783203125000002e-005	6.471328e-001
9.076171875000002e-005	6.487094e-001
9.369140625000003e-005	6.507167e-001
9.662109375000003e-005	6.532161e-001
9.714676339285713e-005	6.537164e-001
9.767243303571423e-005	6.542386e-001
9.819810267857133e-005	6.547828e-001
9.872377232142845e-005	6.553489e-001
9.924944196428555e-005	6.559370e-001
9.977511160714265e-005	6.565471e-001
1.003007812499998e-004	6.571791e-001
1.013320312499989e-004	6.585037e-001
1.023085937499989e-004	6.598309e-001
1.032851562499989e-004	6.612218e-001
1.040234375000000e-004	6.623223e-001
1.052929687500000e-004	6.642891e-001
1.079715401785714e-004	6.684058e-001
1.106501116071429e-004	6.733864e-001
1.133286830357143e-004	6.792309e-001
1.160072544642857e-004	6.859393e-001
1.186858258928572e-004	6.935116e-001
1.213643973214286e-004	7.019478e-001
1.240429687500000e-004	7.112480e-001
1.269726562500000e-004	7.237899e-001
1.299023437500000e-004	7.381689e-001
1.328320312500000e-004	7.533929e-001
1.357617187500000e-004	7.673426e-001
1.386914062500000e-004	7.775612e-001
1.406445312500000e-004	7.813942e-001
1.416210937500000e-004	7.823038e-001
1.425976562500000e-004	7.825238e-001
1.435742187500000e-004	7.820562e-001
1.445507812500000e-004	7.809155e-001
1.465039062500000e-004	7.767325e-001
1.484570312500000e-004	7.703264e-001
1.513867187500001e-004	7.577379e-001
1.540234375000000e-004	7.449980e-001
1.552929687500000e-004	7.388524e-001
1.556835937500000e-004	7.370191e-001
1.564648437500000e-004	7.334730e-001
1.574414062500000e-004	7.292866e-001
1.584179687500000e-004	7.253996e-001
1.590234375000000e-004	7.232077e-001
1.600976562500000e-004	7.196432e-001
1.616880580357143e-004	7.156241e-001
1.632784598214286e-004	7.121407e-001
1.648688616071429e-004	7.091931e-001
1.664592633928572e-004	7.067811e-001
1.680496651785714e-004	7.049049e-001
1.696400669642857e-004	7.035643e-001
1.712304687500000e-004	7.027594e-001
1.731835937500000e-004	7.019783e-001
1.741601562500000e-004	7.017604e-001
1.751367187500000e-004	7.016531e-001
1.761132812500000e-004	7.016542e-001
1.770898437500000e-004	7.017628e-001
